timestep;heat_demand_MW;electricity_purchase_MW;grid_co2_intensity_kgMWh
1;8.75148278662962;1.4666483853288077;167.3
2;10.595972347737018;1.7757637321231814;157.82
3;9.224640285479436;1.5459441685250583;159.6325
4;9.570877617616967;2.734536462176276;157.98250000000002
5;10.879631690284828;3.1084661972242364;154.4875
6;9.563517188564004;2.7324334824468584;148.4275
7;9.946009197222118;2.8417169134920335;142.2025
8;10.91374815164841;3.118213757613831;135.6875
9;9.715891737835229;2.7759690679529223;128.86
10;10.164444396723649;2.904126970492471;119.8875
11;10.8990809655346;3.1140231330098853;114.66
12;9.8060940151018;2.801741147171943;110.9
13;10.30664544602495;2.944755841721414;109.92
14;10.873795414840266;3.1067986899543616;112.5775
15;9.86868386636744;2.8196239618192687;114.38499999999999
16;10.405715782248862;2.9730616520711033;119.50999999999999
17;10.847576874859215;3.099307678531204;121.095
18;9.916394005490805;1.661874177328812;127.105
19;10.478025192838057;1.7559971384493671;131.5125
20;10.823070641955503;1.813822807898927;131.965
21;9.954937211695988;1.6683335776983803;136.0525
22;10.532636426490264;1.7651493563774183;143.08249999999998
23;10.800887099972119;1.810105100074544;144.08499999999998
24;9.987277948391656;1.6737535151434395;155.0475
25;10.574975475659127;1.772244896597727;157.63
26;10.781004244014852;1.8067729609049392;156.6225
27;10.015132089110628;1.6784215504359976;158.32999999999998
28;10.608485971335762;1.77786087226425;177.39249999999998
29;10.763211181616212;1.8037910472254781;192.9475
30;10.039578913307977;1.682518558464196;225.57
31;10.635455108336277;1.7823805910593262;269.915
32;10.747258045891048;1.8011174842050501;306.28
33;10.061342231442547;1.6861658415794902;326.0575
34;10.657458698785483;1.7860681410654884;340.48
35;10.7329067888223;1.7987123777196128;340.15
36;10.080932399357051;1.6894489295819055;337.2275
37;10.675615776766287;1.789111059591652;336.475
38;10.719946430330966;1.796540369921844;344.5425
39;10.098723840579867;1.6924305715708472;346.225
40;10.690741480460549;1.791645954470728;342.005
41;10.708195317731422;1.794571017900005;335.5525
42;10.115000159946842;1.695158296471951;340.46750000000003
43;10.703442617769655;1.7937745197642232;330.8925
44;10.69749884548413;1.7927784115345817;331.0125
45;10.129981835867264;1.6976690539440191;335.64
46;10.714179468750737;1.7955738931434384;331.205
47;10.687725883931513;1.7911405749952785;317.7875
48;10.143843998962607;1.6999921938754614;304.4525
49;10.72330693641079;1.7971035522917382;298.21000000000004
50;10.678765150330356;1.7896388585675689;295.905
51;10.156728288710665;1.7021514534221942;293.565
52;10.731102650145235;1.798410024719311;284.3
53;10.6705219518834;1.7882573928220562;277.8675
54;10.168751021860594;1.704166325940543;268.9425
55;10.737786590525863;1.7995301766530905;262.975
56;10.662915409108594;1.7869826232829276;258.375
57;10.18000897943022;1.7060530308217796;254.1375
58;10.743535066122504;1.8004935553921537;246.57
59;10.655876144176426;1.7858029230197403;234.3225
60;10.190583607027243;1.707825217417898;230.14749999999998
61;10.748490844376308;1.8013240871261695;229.84
62;10.649344377049408;1.784708273582182;230.565
63;10.200544128556887;1.709494486863392;247.9375
64;10.75277061164454;1.8020413271535538;269.84000000000003
65;10.643268363903339;1.7836900032973415;277.1875
66;10.209949897562533;1.7110707861330405;282.095
67;10.756470545417521;1.8026613937212739;289.56
68;10.637603116781564;1.7827405726984111;297.43
69;10.218852202125275;1.7125627105224248;309.545
70;10.759670530657637;1.8031976746350251;319.685
71;10.632309351984654;1.781853398286829;333.74
72;10.227295670571689;1.7139777392284663;330.46500000000003
