scenario,description,status,objective_eur,delta_objective_pct_vs_baseline,co2_total_t,delta_co2_pct_vs_baseline,grid_peak_mw,grid_import_mwh,grid_cost_eur,fuel_cost_eur,co2_cost_eur,demand_charge_cost_eur,capex_cost_eur,activation_cost_eur,storage_installation_cost_eur,heat_demand_mwh
baseline,Reference configuration,optimal,307863.2224548753,0.0,1095.3048655335479,0.0,27.980929192314033,2759.448538409323,198332.73590152053,0.0,109530.48655335479,0.0,0.0,0.0,0.0,9938.0681
market_low,Low energy and carbon price environment,optimal,252937.52965384943,-17.840940000254996,1103.3880941328857,0.7379889247000055,27.980929192314033,2766.961614595701,197768.12494720513,0.0,55169.40470664429,0.0,0.0,0.0,0.0,9938.0681
market_high,High energy and carbon price environment,optimal,362554.2543011041,17.764717529468818,1093.1891845779362,-0.19315909407387277,27.980929192314033,2757.578050982622,198575.87661441372,0.0,163978.37768669042,0.0,0.0,0.0,0.0,9938.0681
grid_favorable,Favorable electrification economics,optimal,327220.8491670241,6.287736013997612,1093.6731849658038,-0.1489704482367328,26.13942609576838,2755.4878986582125,199054.6283412952,0.0,109367.31849658038,18798.902329148492,0.0,0.0,0.0,9938.0681
grid_unfavorable,Unfavorable electrification economics,optimal,339632.16459769226,10.31917417400302,1092.8429345470581,-0.22477130011565052,25.258381283911877,2753.604892154898,200072.41412459893,0.0,109284.29345470581,30275.45701838753,0.0,0.0,0.0,9938.0681
co2_relaxed,Reduced carbon price pressure,optimal,263952.4351160675,-14.263083127847123,1100.4961907326879,0.4739616669749018,27.980929192314033,2763.8732791301713,197922.66367210622,0.0,66029.77144396128,0.0,0.0,0.0,0.0,9938.0681
co2_stringent,Stringent carbon price pressure,optimal,395258.5415384866,28.387710096298097,1084.5720024271288,-0.9798973275984488,27.74153942398671,2748.328742927129,200035.58110160346,0.0,195222.96043688318,0.0,0.0,0.0,0.0,9938.0681
