pipe_id,from,to,length_m,diameter_mm,U_value_W_mK,R_resistance,m_dot_max_kg_s,v_max_m_s,dp_max_Pa,transport_delay_min,k_p_steps,annual_loss_MWh,annual_loss_share_pct,peak_velocity_m_s,peak_dp_bar,annual_pump_energy_MWh
zA_to_zB,zone_A,zone_B,650.0,450.0,0,,351.32626994635496,2.5,0.0,,3,229.28087519998365,22928.087519998364,0.6323114640531394,0.0,
zB_to_zC,zone_B,zone_C,500.0,300.0,0,,156.14500886504666,2.5,0.0,,3,176.36990400000155,17636.990400000155,1.197590559109398,0.0,
zC_to_zD,zone_C,zone_D,450.0,150.0,0,,39.036252216261666,2.5,0.0,,3,139.35408479999265,13935.408479999265,0.6223636168460014,0.0,
zB_to_zE,zone_B,zone_E,880.0,350.0,0,,212.53070651075794,2.5,0.0,,3,310.4110310400166,31041.10310400166,0.27246694212303857,0.0,
zE_to_zF,zone_E,zone_F,470.0,300.0,0,,156.14500886504666,2.5,0.0,,3,165.7877097600087,16578.77097600087,0.32396595174953124,0.0,
zF_to_zG,zone_F,zone_G,305.0,125.0,0,,27.10850848351505,2.5,0.0,,3,94.45110191999669,9445.110191999669,0.7829432626509759,0.0,
