timestep;heat_demand_MW;electricity_purchase_MW;grid_co2_intensity_kgMWh;storage_SOC_MWh
1;8.75148278662962;0.0;167.3;15.785412856179347
2;10.595972347737018;1.9063103586274284;157.82;16.523856761873027
3;9.224640285479436;2.0110627025210364;159.6325;19.158796104991374
4;9.570877617616967;3.4285714285714284;157.98250000000002;21.464546488644757
5;10.879631690284828;3.4285714285714284;154.4875;22.526749928225303
6;9.563517188564004;3.4285714285714284;148.4275;24.839155924096676
7;9.946009197222118;3.4285714285714284;142.2025;26.787963271143255
8;10.91374815164841;3.4285714285714284;135.6875;27.81722373075015
9;9.715891737835229;3.4285714285714284;128.86;29.98434485743361
10;10.164444396723649;3.4285714285714284;119.8875;31.7251242460604
11;10.8990809655346;3.4285714285714284;114.66;32.767824816377924
12;9.8060940151018;3.4285714285714284;110.9;34.84875871954958
13;10.30664544602495;3.4285714285714284;109.92;36.45396066995392
14;10.873795414840266;3.4285714285714284;112.5775;37.520209629788674
15;9.86868386636744;3.4285714285714284;114.38499999999999;39.541207935776626
16;10.405715782248862;3.4285714285714284;119.50999999999999;41.051823821846625
17;10.847576874859215;3.4285714285714284;121.095;42.142520608348185
18;9.916394005490805;2.0110627025210364;127.105;44.11773205107109
19;10.478025192838057;2.0110627025210364;131.5125;45.55919634466983
20;10.823070641955503;2.0110627025210364;131.965;46.67272331517763
21;9.954937211695988;2.0110627025210364;136.0525;48.61086569173492
22;10.532636426490264;2.0110627025210364;143.08249999999998;50.0
23;10.800887099972119;0.5995289153371696;144.08499999999998;42.39131433164911
24;9.987277948391656;2.0110627025210364;155.0475;44.29916114924387
25;10.574975475659127;2.0110627025210364;157.63;45.648504531252776
26;10.781004244014852;2.0110627025210364;156.6225;46.80198564898554
27;10.015132089110628;2.0110627025210364;158.32999999999998;48.68292996576555
28;10.608485971335762;2.0110627025210364;177.39249999999998;50.0
29;10.763211181616212;1.804673092270444;192.9475;50.0
30;10.039578913307977;1.6834006035091618;225.57;50.0
31;10.635455108336277;1.7832626361042923;269.915;50.0
32;10.747258045891048;1.8019995292500162;306.28;50.0
33;10.061342231442547;1.6861658415794902;326.0575;49.995
34;10.657458698785483;1.5971612644869466;340.48;48.8034675678287
35;10.7329067888223;1.7987123777196128;340.15;48.79858722107191
36;10.080932399357051;1.6894489295819055;337.2275;48.79370736234981
