run_id,Fuel,Electricity,CO₂,Pump,Curtailment,Demand charge
L1,50875.92510166959,73225.38223656315,22168.915434546238,0.0,288.847998,0.0
L2,56960.08735558647,82458.48250787599,25339.641995985687,0.0,0.0,0.0
L3,58381.80200208622,85188.50903685494,26152.17282694117,0.0,0.0,0.0
