run_id,Fuel,Electricity,CO₂,Pump,Curtailment
L3,58381.80200208622,85188.50903685494,26152.17282694117,0.0,0.0
L3plus,58231.12020000276,85542.63925037831,27175.597921505367,0.0,0.0
