run_id,hour
L2,15
L2,16
L2,17
L2,18
L2,19
L2,20
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,12
L2,13
L2,14
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,12
L2,13
L2,14
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,12
L2,13
L2,14
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,12
L2,13
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,18
L2,19
L2,20
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,21
L2,22
L2,23
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,21
L2,22
L2,23
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,12
L2,13
L2,14
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,12
L2,13
L2,14
L2,12
L2,13
L2,14
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,12
L2,13
L2,14
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,18
L2,19
L2,20
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,6
L2,7
L2,8
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,16
L2,17
L2,3
L2,4
L2,5
L2,12
L2,13
L2,14
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,3
L2,4
L2,5
L2,3
L2,4
L2,5
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,18
L2,19
L2,20
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,15
L2,16
L2,17
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,18
L2,19
L2,20
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,18
L2,19
L2,20
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,18
L2,19
L2,20
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,4
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,3
L2,4
L2,5
L2,12
L2,13
L2,14
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,21
L2,22
L2,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,18
L3,19
L3,20
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,15
L3,16
L3,17
L3,18
L3,19
L3,20
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,18
L3,19
L3,20
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,8
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,18
L3,19
L3,20
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,12
L3,13
L3,14
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,12
L3,13
L3,14
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,12
L3,13
L3,14
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,12
L3,13
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,18
L3,19
L3,20
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,4
L3,5
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,21
L3,22
L3,23
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,12
L3,13
L3,14
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,12
L3,13
L3,14
L3,12
L3,13
L3,14
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,12
