Datum,S1_Lastfolge,S2_Kosten,S2_Kosten_TES_SOC_MWh,S2_Kosten_TES_charge_MW,S2_Kosten_TES_discharge_MW,S3_Kosten_Emissionen,S3_Kosten_Emissionen_TES_SOC_MWh,S3_Kosten_Emissionen_TES_charge_MW,S3_Kosten_Emissionen_TES_discharge_MW
2025-01-01 00:00:00,2.5004236533227484,0.0,15.785412856179347,0.0,8.75148278662962,0.117830113431426,16.525509312804306,0.0,8.048391152835908
2025-01-01 01:00:00,3.027420670782005,1.9063103586274284,16.523856761873027,0.7789709968203135,0.0,1.7757637321231814,16.523856761873027,0.0,0.0
2025-01-01 02:00:00,2.635611510136982,2.0110627025210364,19.158796104991374,2.7753597145205635,0.0,2.0110627025210364,19.158796104991374,2.7753597145205635,0.0
2025-01-01 03:00:00,2.7345364621762767,3.4285714285714284,21.464546488644757,2.4291223823830332,0.0,2.0110627025210364,21.464546488644757,2.4291223823830332,0.0
2025-01-01 04:00:00,3.1084661972242364,3.4285714285714284,22.526749928225303,1.1203683097151718,0.0,2.0110627025210364,22.526749928225303,1.1203683097151718,0.0
2025-01-01 05:00:00,2.7324334824468584,3.4285714285714284,24.839155924096676,2.4364828114359955,0.0,2.0110627025210364,24.839155924096676,2.4364828114359955,0.0
2025-01-01 06:00:00,2.8417169134920335,3.4285714285714284,26.787963271143255,2.053990802777882,0.0,2.0110627025210364,26.787963271143255,2.053990802777882,0.0
2025-01-01 07:00:00,3.118213757613831,3.4285714285714284,27.81722373075015,1.0862518483515906,0.0,2.0110627025210364,27.81722373075015,1.0862518483515906,0.0
2025-01-01 08:00:00,2.7759690679529223,3.4285714285714284,29.98434485743361,2.2841082621647715,0.0,2.0110627025210364,29.98434485743361,2.2841082621647715,0.0
2025-01-01 09:00:00,2.9041269704924706,3.4285714285714284,31.7251242460604,1.835555603276351,0.0,2.0110627025210364,31.7251242460604,1.835555603276351,0.0
2025-01-01 10:00:00,3.1140231330098858,3.4285714285714284,32.767824816377924,1.1009190344654005,0.0,2.0110627025210364,32.767824816377924,1.1009190344654005,0.0
2025-01-01 11:00:00,2.801741147171943,3.4285714285714284,34.84875871954958,2.1939059848981994,0.0,2.0110627025210364,34.84875871954958,2.1939059848981994,0.0
2025-01-01 12:00:00,2.944755841721414,3.4285714285714284,36.45396066995392,1.69335455397505,0.0,2.0110627025210364,36.45396066995392,1.69335455397505,0.0
2025-01-01 13:00:00,3.106798689954362,3.4285714285714284,37.520209629788674,1.1262045851597335,0.0,2.0110627025210364,37.520209629788674,1.1262045851597335,0.0
2025-01-01 14:00:00,2.8196239618192687,3.4285714285714284,39.541207935776626,2.1313161336325592,0.0,2.0110627025210364,39.541207935776626,2.1313161336325592,0.0
2025-01-01 15:00:00,2.9730616520711033,3.4285714285714284,41.051823821846625,1.594284217751138,0.0,2.0110627025210364,41.051823821846625,1.594284217751138,0.0
2025-01-01 16:00:00,3.0993076785312046,3.4285714285714284,42.142520608348185,1.1524231251407855,0.0,2.0110627025210364,42.142520608348185,1.1524231251407855,0.0
2025-01-01 17:00:00,2.83325543014023,2.0110627025210364,44.11773205107109,2.0836059945091954,0.0,2.0110627025210364,44.11773205107109,2.0836059945091954,0.0
2025-01-01 18:00:00,2.9937214836680157,2.0110627025210364,45.55919634466983,1.5219748071619428,0.0,2.0110627025210364,45.55919634466983,1.5219748071619428,0.0
2025-01-01 19:00:00,3.0923058977015723,2.0110627025210364,46.67272331517763,1.1769293580444966,0.0,2.0110627025210364,46.67272331517763,1.1769293580444966,0.0
2025-01-01 20:00:00,2.8442677747702825,2.0110627025210364,48.61086569173492,2.045062788304012,0.0,2.0110627025210364,48.61086569173492,2.045062788304012,0.0
2025-01-01 21:00:00,3.0093246932829323,2.0110627025210364,50.0,1.4673635735097363,0.0,2.0110627025210364,50.0,1.4673635735097363,0.0
2025-01-01 22:00:00,3.0859677428491774,0.5995289153371696,42.39131433164911,0.0,7.223501384933341,1.4132867631470638,47.50256545562732,0.0,2.3678128171540442
2025-01-01 23:00:00,2.8535079852547587,2.0110627025210364,44.29916114924387,2.0127220516083444,0.0,1.6737535151434395,47.49781519908176,0.0,0.0
2025-01-02 00:00:00,3.0214215644740365,2.0110627025210364,45.648504531252776,1.4250245243408735,0.0,2.0110627025210364,48.84683871568568,1.4250245243408735,0.0
2025-01-02 01:00:00,3.0802869268613864,2.0110627025210364,46.80198564898554,1.2189957559851479,0.0,2.0110627025210364,50.0,1.2189957559851479,0.0
2025-01-02 02:00:00,2.861466311174465,2.0110627025210364,48.68292996576555,1.9848679108893723,0.0,1.6793035954809636,50.0,0.005263157894739535,0.0
2025-01-02 03:00:00,3.030995991810218,2.0110627025210364,50.0,1.391514028664238,0.0,1.7787429173092157,50.0,0.005263157894739535,0.0
2025-01-02 04:00:00,3.075203194747489,1.804673092270444,50.0,0.005263157894739535,0.0,1.804673092270444,50.0,0.005263157894739535,0.0
