timestep;heat_demand_MW;electricity_purchase_MW;grid_co2_intensity_kgMWh;storage_SOC_MWh
1;8.75148278662962;0.117830113431426;167.3;16.525509312804306
2;10.595972347737018;1.7757637321231814;157.82;16.523856761873027
3;9.224640285479436;2.0110627025210364;159.6325;19.158796104991374
4;9.570877617616967;2.0110627025210364;157.98250000000002;21.464546488644757
5;10.879631690284828;2.0110627025210364;154.4875;22.526749928225303
6;9.563517188564004;2.0110627025210364;148.4275;24.839155924096676
7;9.946009197222118;2.0110627025210364;142.2025;26.787963271143255
8;10.91374815164841;2.0110627025210364;135.6875;27.81722373075015
9;9.715891737835229;2.0110627025210364;128.86;29.98434485743361
10;10.164444396723649;2.0110627025210364;119.8875;31.7251242460604
11;10.8990809655346;2.0110627025210364;114.66;32.767824816377924
12;9.8060940151018;2.0110627025210364;110.9;34.84875871954958
13;10.30664544602495;2.0110627025210364;109.92;36.45396066995392
14;10.873795414840266;2.0110627025210364;112.5775;37.520209629788674
15;9.86868386636744;2.0110627025210364;114.38499999999999;39.541207935776626
16;10.405715782248862;2.0110627025210364;119.50999999999999;41.051823821846625
17;10.847576874859215;2.0110627025210364;121.095;42.142520608348185
18;9.916394005490805;2.0110627025210364;127.105;44.11773205107109
19;10.478025192838057;2.0110627025210364;131.5125;45.55919634466983
20;10.823070641955503;2.0110627025210364;131.965;46.67272331517763
21;9.954937211695988;2.0110627025210364;136.0525;48.61086569173492
22;10.532636426490264;2.0110627025210364;143.08249999999998;50.0
23;10.800887099972119;1.4132867631470638;144.08499999999998;47.50256545562732
24;9.987277948391656;1.6737535151434395;155.0475;47.49781519908176
25;10.574975475659127;2.0110627025210364;157.63;48.84683871568568
26;10.781004244014852;2.0110627025210364;156.6225;50.0
27;10.015132089110628;1.6793035954809636;158.32999999999998;50.0
28;10.608485971335762;1.7787429173092157;177.39249999999998;50.0
29;10.763211181616212;1.804673092270444;192.9475;50.0
30;10.039578913307977;1.6834006035091618;225.57;50.0
31;10.635455108336277;1.7832626361042923;269.915;50.0
32;10.747258045891048;1.8019995292500162;306.28;50.0
33;10.061342231442547;1.6861658415794902;326.0575;49.995
34;10.657458698785483;1.7860681410654884;340.48;49.9900005
35;10.7329067888223;1.7987123777196128;340.15;49.98500149995
36;10.080932399357051;1.6894489295819055;337.2275;49.98000299980001
37;10.675615776766287;1.789111059591652;336.475;49.97500499950003
38;10.719946430330966;1.8018313173004632;344.5425;50.0
39;10.098723840579867;1.6924305715708472;346.225;49.995
40;10.690741480460549;1.791645954470728;342.005;49.9900005
41;10.708195317731422;0.11868543246580805;335.5525;39.45868571047632
42;10.115000159946842;0.01927271103775392;340.46750000000003;28.928424052431588
43;10.703442617769655;0.11788893433002622;330.8925;18.399215420552665
44;10.69749884548413;0.1168928261003848;331.0125;7.871059709536928
45;10.129981835867264;1.6976690539440191;335.64;7.870272603565974
46;10.714179468750737;1.7955738931434384;331.205;7.8694855763056175
47;10.687725883931513;2.0110627025210364;317.7875;9.11535903801305
48;10.143843998962607;2.0110627025210364;304.4525;10.877795703094773
49;10.72330693641079;2.0110627025210364;298.21000000000004;12.089566333934213
50;10.678765150330356;2.0110627025210364;295.905;13.343530484486982
51;10.156728288710665;2.0110627025210364;293.565;15.0933042571634
52;10.731102650145235;2.0110627025210364;284.3;16.29724740909971
53;10.6705219518834;2.0110627025210364;277.8675;17.558621830069573
54;10.168751021860594;2.0110627025210364;268.9425;19.296552497119002
55;10.737786590525863;2.0110627025210364;262.975;20.49372558086972
56;10.662915409108594;2.0110627025210364;258.375;21.76190656965847
57;10.18000897943022;2.0110627025210364;254.1375;23.4887218485428
58;10.743535066122504;2.0110627025210364;246.57;24.680014663541566
59;10.655876144176426;2.0110627025210364;234.3225;25.954464325107608
60;10.190583607027243;2.0110627025210364;230.14749999999998;27.670814451999217
61;10.748490844376308;2.0110627025210364;229.84;28.856981068396525
62;10.649344377049408;2.0110627025210364;230.565;30.137218212092748
63;10.200544128556887;2.0110627025210364;247.9375;31.843687568142496
64;10.75277061164454;2.0110627025210364;269.84000000000003;33.02537111832337
65;10.643268363903339;2.0110627025210364;277.1875;34.31096363550337
66;10.209949897562533;2.0110627025210364;282.095;36.00808013645541
67;10.756470545417521;2.0110627025210364;289.56;37.185832310295126
68;10.637603116781564;2.0110627025210364;297.43;38.47639076612161
69;10.218852202125275;2.0110627025210364;309.545;40.16463353502599
70;10.759670530657637;2.0110627025210364;319.685;41.338930067547736
71;10.632309351984654;2.0110627025210364;333.74;42.63410229015556
72;10.227295670571689;2.0110627025210364;330.46500000000003;44.31390799288344
73;10.762437388061956;2.0110627025210364;343.9525;45.4851610834253
74;10.627352623731307;2.0110627025210364;370.4775;46.78462757477221
75;10.235319380563483;2.0110627025210364;396.225;48.456395700479426
76;10.764827372657654;2.0110627025210364;418.0225;49.62496405688461
77;10.622702607786797;1.847278566009243;446.395;50.0
78;10.242957744400147;1.717484568650144;459.15999999999997;50.0
79;10.766888126959147;1.8044072611953434;463.8375;49.995
80;10.618332506654292;1.7795110389249293;452.24;49.9900005
81;10.250241223146817;1.7178231513095144;438.3725;49.98500149995
82;10.768660221807394;1.8047042440165635;431.8075;49.98000299980001
83;10.614218553567362;1.7788215874571753;417.4;49.97500499950003
84;10.257196908191425;1.718988844539822;425.0725;49.97000749900008
85;10.770178382280271;1.8049586703418505;419.995;49.96501049825018
86;10.610339597059307;1.7781715187273377;422.5225;49.960013997200356
87;10.26384899896183;1.7201036588433343;420.6575;49.95501799580064
88;10.771472470742921;0.5578944517879617;411.865;42.11579157931585
89;10.606676751500926;0.10167208228584457;405.3;31.58526421068423
90;10.270219198463662;0.04528564596128343;409.8325;21.055789894789477
91;10.772568280939256;0.12947360457897755;414.3725;10.527368526326315
92;10.60321310186921;0.10109161423676592;424.96;-0.0
93;10.276327043164127;1.7221948362846382;429.555;0.0
94;10.773488183838003;1.8055133552139755;425.86;-0.0
95;10.599933453286349;1.7764275680924322;428.71500000000003;-0.0
96;10.282190179966781;1.723177430929938;417.6675;-0.0
97;10.774251656270145;1.805641304458366;400.6325;0.0
98;10.596824117676075;1.7759064790194787;397.1825;-0.0
99;10.28782460020564;1.7241216952959963;389.8825;-0.0
100;10.774875716222432;1.8057458897662144;386.3675;-0.0
101;10.593872731322502;1.7754118604347786;373.325;0.0
102;10.29324483846476;1.725030065212804;348.545;0.0
103;10.775375283285452;1.8058296114902017;333.065;-0.0
104;10.59106809826389;1.7749418360232425;310.27;-0.0
105;10.298464142413314;1.7259047608381421;286.115;-0.0
106;10.775763478704096;1.8058946686008452;272.3325;0.0
107;10.588400055372551;1.7744947025609512;245.405;-0.0
108;10.303494618604269;1.7267478110917713;235.0675;-0.0
109;10.776051876395313;1.8059430007542034;213.0625;0.0
110;10.585859355709996;1.7740689103668117;203.7525;0.0
111;10.308347358220846;1.7275610747291001;190.8625;0.0
112;10.776250713933035;2.0110627025210364;184.485;1.162561821763617
113;10.583437567342015;2.0110627025210364;172.9375;2.508179876606526
114;10.313032546001411;1.4726965039158453;170.99;0.9021809856888473
115;10.776369070672674;1.8059961588859248;161.6575;0.9020907675902784
116;10.58112698528039;2.0110627025210364;152.5575;2.2499299224971487
117;10.317559554979304;2.0110627025210364;152.16;3.84802335227456
118;10.7764150187654;2.0110627025210364;161.9775;5.010044282112203
119;10.578920554610038;2.0110627025210364;161.6025;6.359568750804455
120;10.32193702920212;2.0110627025210364;136.72750000000002;7.953092616187361
121;10.776395751698539;2.0110627025210364;136.7225;9.11472134281213
122;10.576811803180316;2.0110627025210364;136.70999999999998;10.46583865765655
123;10.326172956217798;2.0110627025210364;132.59;12.054927765383876
124;10.77631769412042;2.0110627025210364;128.68;13.216220463192938
125;10.574794782501543;2.0110627025210364;122.41499999999999;14.568843797770153
126;10.330274730811226;2.0110627025210364;117.815;16.153625919119712
127;10.776186596011843;2.0110627025210364;120.995;17.314633290316547
128;10.572864015703363;2.0110627025210364;127.46000000000001;18.66868101206932
129;10.334249211229285;2.0110627025210364;125.85;20.249277393300293
130;10.776007613711272;2.0110627025210364;112.0025;21.410045232535253
131;10.57101445158983;2.0110627025210364;102.91499999999999;22.765440499001663
132;10.33810276893201;2.0110627025210364;99.395;24.341966324466355
133;10.775785379855982;2.0110627025210364;98.35249999999999;25.502536016970726
134;10.569241423973633;2.0110627025210364;103.95;26.859206410594076
135;10.341841332743785;2.0110627025210364;114.195;28.43177122384642
136;10.7755240639428;2.0110627025210364;119.7275;29.59218018597838
137;10.567540615594671;2.0110627025210364;132.0225;30.950057383144845
138;10.345470428143543;2.0110627025210364;154.36;32.51876547067017
139;10.775227424921905;2.0110627025210364;156.4375;33.67904754044729
140;10.565908026030721;2.0110627025210364;160.3175;35.03806701096406
141;10.348995212321485;2.0110627025210364;163.2;36.603017752557555
142;10.774898857001022;2.0110627025210364;159.9225;37.76320353663133
143;10.564339943093618;2.0110627025210364;155.0775;39.12330427033873
144;10.352420505537186;2.0110627025210364;140.82999999999998;40.68459245965137
145;10.774541429644469;2.0110627025210364;135.78;41.84470964224316
146;10.562832917276724;2.0110627025210364;137.165;43.20583389986604
147;10.355750819236665;2.0110627025210364;136.98250000000002;44.76355003820123
148;10.77415792259325;2.0110627025210364;138.5975;45.923623656733824
