node_id,node_type,T_supply_avg_c,T_return_avg_c,delta_t_avg_c,Q_demand_total_mwh,P_avg_bar
j_1,mixed,85.94027397258552,63.721917808210634,22.21835616437488,0.0,
j_2,consumer,85.94027397258552,63.721917808210634,22.21835616437488,134.50080000000074,
j_3,consumer,85.94027397258552,63.721917808210634,22.21835616437488,1591.0474208767168,
j_4,consumer,85.94027397258552,63.721917808210634,22.21835616437488,783.1254660000028,
j_5,consumer,85.94027397258552,63.721917808210634,22.21835616437488,367.55121407954664,
j_6,consumer,85.94027397258552,63.721917808210634,22.21835616437488,1348.7785223256767,
j_7,consumer,85.94027397258552,63.721917808210634,22.21835616437488,336.8576999999994,
j_8,consumer,85.94027397258552,63.721917808210634,22.21835616437488,237.6079170000001,
j_9,consumer,85.94027397258552,63.721917808210634,22.21835616437488,249.00660000000056,
j_10,consumer,85.94027397258552,63.721917808210634,22.21835616437488,559.9769999999971,
j_11,consumer,85.94027397258552,63.721917808210634,22.21835616437488,435.7590000000009,
j_12,consumer,85.94027397258552,63.721917808210634,22.21835616437488,1990.995552000012,
j_13,consumer,85.94027397258552,63.721917808210634,22.21835616437488,326.3801999999997,
j_14,consumer,85.94027397258552,63.721917808210634,22.21835616437488,807.8865230039393,
j_15,consumer,85.94027397258552,63.721917808210634,22.21835616437488,367.9248329999999,
