Rohr,m_dot_max,m_dot_mean,v_max,v_mean,v<0.3_h,dP_max_bar,dP_mean_bar,dT_VL_mean,dT_VL_max,Q_loss_VL_MW,Q_loss_RL_MW,Q_loss_total_MWh,Q_consumer_max,Q_consumer_mean
E1_to_V1,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,6.640564185633854e-05,1.2747699116634247e-05,0.0,0.0,0.010800000000000002,0.0035999999999999995,10.713600000000001,2.0,2.0
E1_to_V2,207.0393374741201,207.03933747412015,0.0119334844630067,0.011933484463006698,744,0.0012949100161998,0.0002500134613819567,0.0,0.0,0.008099999999999998,0.0027000000000000006,8.035199999999998,52.0,52.0
j1_to_V_2,199.0762860328078,199.07628603280776,0.0114745042913526,0.011474504291352603,744,0.0011413469694058,0.001090812947989983,0.0,0.0,0.007425,0.0024750000000000006,7.365600000000001,50.0,50.0
j1_to_j5,103.51966873706004,103.51966873706007,0.0059667422315033,0.005966742231503301,744,0.0007553641761158,0.0005418988222512197,0.0,0.0,0.009449999999999998,0.0031500000000000005,9.3744,26.0,26.0
j1_to_j2,87.59356585443541,87.5935658544354,0.0050487818881951,0.005048781888195101,744,0.0006391543028679,0.0005285180696664461,0.0,0.0,0.009449999999999998,0.0031500000000000005,9.3744,22.0,22.0
j1_to_V3,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,5.810493662429623e-05,1.7778787534456537e-05,0.0,0.0,0.009449999999999998,0.0031500000000000005,9.3744,2.0,2.0
j2_to_V4,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.6601410464084636e-05,5.768753873312141e-06,0.0,0.0,0.0027000000000000006,0.0008999999999999999,2.6784000000000003,2.0,2.0
j2_to_V5,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.4941269417676174e-05,5.3159165385469815e-06,0.0,0.0,0.0024300000000000003,0.0008100000000000001,2.4105600000000003,2.0,2.0
j2_to_V6,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.82615515104931e-05,6.567978954872953e-06,0.0,0.0,0.0029699999999999996,0.0009899999999999998,2.9462399999999995,2.0,2.0
j2_to_V7,7.963051441312311,7.963051441312311,0.0004589801716541,0.0004589801716541,744,1.82615515104931e-05,6.305202043512476e-06,0.0,0.0,0.0029699999999999996,0.0009899999999999998,2.9462399999999995,2.0,2.0
