;plant_to_j1_m_dot;plant_to_j1_velocity;plant_to_j1_delta_p;j1_to_north_m_dot;j1_to_north_velocity;j1_to_north_delta_p;j1_to_south_m_dot;j1_to_south_velocity;j1_to_south_delta_p;plant_to_industrial_m_dot;plant_to_industrial_velocity;plant_to_industrial_delta_p
0;243.63797566183695;1.404298348627768;1.7927212961205548;104.4162752836444;1.2282492845140829;2.6719197739896767;139.22170037819254;1.637665712685444;3.0437663872854097;104.4162752836444;1.2282492845140829;1.4933122000171222
1;237.57033634810148;1.3693252462400916;1.7480747824341594;101.81585843490062;1.19766056522457;2.5557012356556608;135.75447791320084;1.59688075363276;4.368366803250712;101.81585843490062;1.19766056522457;1.456122267750237
2;245.08063581558235;1.412613658529816;1.8033365853572116;105.03455820667814;1.2355221503176232;4.694233093911942;140.0460776089042;1.6473628670901643;4.506463770155466;105.03455820667814;1.2355221503176232;1.5021545900518216
3;253.44510135124725;1.4608253755537313;1.8648834581536995;108.61932915053453;1.2776898328458293;2.859763802605734;144.82577220071272;1.7035864437944392;4.6602668675227825;108.61932915053453;1.2776898328458293;1.5534222891742606
4;236.6540527976748;1.3640439042274453;1.7413326436946108;101.42316548471776;1.1930413156508268;2.5381508953298884;135.23088731295704;1.5907217542011027;4.351518476537971;101.42316548471776;1.1930413156508268;1.45050615884599
5;245.65694326516217;1.4159354214756306;1.8075771337986772;105.28154711364091;1.2384274823402017;2.710590738374626;140.37539615152124;1.6512366431202692;4.51706072586092;105.28154711364091;1.2384274823402017;1.5056869086203062
6;276.1113748553165;1.5914708973154508;1.3614522093388732;118.3334463665642;1.3919570530455838;5.288590627072886;157.77792848875228;1.8559427373941118;3.4380077176182677;118.3334463665642;1.3919570530455838;1.692349000663324
7;277.4548355939295;1.5992144343874344;1.371337575813746;118.9092152545412;1.3987298259948404;5.314323047092859;158.5456203393883;1.8649731013264546;3.44541865458402;118.9092152545412;1.3987298259948404;1.700583375069715
8;270.83359636589654;1.5610504524033544;1.3226175988127928;116.07154129966993;1.3653502499154702;1.5562502848580586;154.7620550662266;1.820466999887294;1.494000273463738;116.07154129966993;1.3653502499154702;1.6600003038485962
9;292.7181875915676;1.68719045678945;1.4836473916461066;125.45065182495753;1.4756767843639507;5.606674712628991;167.26753576661008;1.9675690458186013;3.529615934258427;125.45065182495753;1.4756767843639507;1.7941359080412775
10;284.25673947393494;1.638419744480284;1.4213869078471708;121.82431691740068;1.4330201846766333;1.6333816694642478;162.43242255653428;1.9106935795688447;3.4829400197069553;121.82431691740068;1.4330201846766333;1.7422737807618642
11;287.8631958151368;1.6592069007952641;1.4479237031428904;123.36994106363004;1.4512013709579568;1.6541049061070943;164.49325475150675;1.9349351612772763;3.502834326884088;123.36994106363004;1.4512013709579568;1.7643785665142333
12;299.92488900626523;1.7287289684612104;1.5366752788866518;128.53923814554224;1.5120078441351696;1.7234131962027008;171.385650860723;2.016010458846893;4.078752015082687;128.53923814554224;1.5120078441351696;1.8383074092828813
13;265.9200410040082;1.5327293433404223;1.2864629914984114;113.96573185886066;1.3405796005892907;5.093387540232867;151.95430914514756;1.7874394674523877;3.3817892286083433;113.96573185886066;1.3405796005892907;1.6298840128745178
14;265.61558672874617;1.5309745075648344;1.2842227756146822;113.83525145517693;1.3390447588030625;3.09287522341589;151.78033527356925;1.7853930117374166;1.4652161494501605;113.83525145517693;1.3390447588030625;1.6280179438335107
15;277.0630020037827;1.5969559553384056;1.3684544110703047;118.7412865730497;1.3967544798878182;5.306817932704476;158.32171543073295;1.862339306517091;3.443257181640166;118.7412865730497;1.3967544798878182;1.6981817384654327
16;263.56460995252564;1.5191529379097082;3.2968850992934096;112.95626140822526;1.3287051935070333;1.5144816035414514;150.60834854430036;1.7716069246760444;3.3687959564210708;112.95626140822526;1.3287051935070333;1.6154470437775483
17;271.8099021246416;1.5666777548016653;1.3298013891085088;116.48995805341782;1.3702720887478121;5.206200945090472;155.3199440712238;1.8270294516637502;3.414279489207333;116.48995805341782;1.3702720887478121;1.6659843024289511
18;247.59074160893022;1.4270815895282736;1.821806284504179;106.11031783239865;1.248176317371668;1.4226933708643623;141.48042377653155;1.6642350898288907;4.552618786765963;106.11031783239865;1.248176317371668;1.5175395955886541
19;233.31267860618544;1.3447846477568173;1.71674635883849;99.99114797407947;1.1761964849184992;1.3406494888888667;133.32153063210598;1.5682619798913324;2.853908151678417;99.99114797407947;1.1761964849184992;1.430026121481458
20;252.89678708955148;1.4576649617876232;1.8608488873884548;108.38433732409348;1.2749256225547725;1.453182700480363;144.512449765458;1.6999008300730303;4.650184641537165;108.38433732409348;1.2749256225547725;1.5500615471790546
21;236.73410128536517;1.364505293543985;1.7419216513327467;101.4574719794422;1.1934448631580044;4.5343649816033595;135.27662930592297;1.5912598175440062;4.352990382339227;101.4574719794422;1.1934448631580044;1.4509967941130753
22;239.5368199205726;1.3806598077998125;1.762544435489122;102.65863710881683;1.2075741759182035;4.588047780844238;136.87818281175578;1.6100989012242712;2.968355656844512;102.65863710881683;1.2075741759182035;1.4681752898701563
23;225.27713152208833;1.2984687749136585;1.657619712655734;96.54734208089499;1.1356869751431415;1.2944760354975016;128.72978944119333;1.5142493001908555;2.7061531008260493;96.54734208089499;1.1356869751431415;1.3807744378640021
24;256.27827610457257;1.4771554350063303;1.8857303425612724;109.83354690195968;1.2919726836790062;1.4726132412754627;146.4447292026129;1.7226302449053417;4.712362372081483;109.83354690195968;1.2919726836790062;1.570787457360494
25;264.10562099510116;1.522271256848348;1.2731122427851251;113.18812328361477;1.3314325861647358;1.517590333774395;150.91749771148636;1.7752434482196477;3.3717803374446955;113.18812328361477;1.3314325861647358;1.6187630226926881
26;249.03256596485545;1.435392081997836;1.8324154238270245;106.72824255636661;1.2554449696774075;1.4309783089028187;142.30432340848884;1.6739266262365438;4.5791305884890265;106.72824255636661;1.2554449696774075;1.526376862829675
27;267.2682515330348;1.5405002576011055;1.2963833075758795;114.54353637130063;1.3473763186015504;3.124530085872152;152.72471516173417;1.7965017581354004;3.3892263668588383;114.54353637130063;1.3473763186015504;1.6381474998195142
28;255.60632238510743;1.4732823791083904;1.8807860158830514;109.54556673647461;1.2885851712318286;4.895840316230351;146.06075564863283;1.7181135616424383;4.700006703581138;109.54556673647461;1.2885851712318286;1.5666689011937127
29;270.48363209449985;1.559033302790015;1.320042514200019;115.92155661192851;1.3635859791166312;1.5542393378988957;154.56207548257137;1.8181146388221754;1.4920697643829404;115.92155661192851;1.3635859791166312;1.6578552937588222
30;278.0452946168744;1.602617765204814;1.375682253452954;119.16226912151758;1.4017065001791376;3.3309517484009783;158.8830254953568;1.8689420002388504;3.4486758056671416;119.16226912151758;1.4017065001791376;1.7042024318287388
31;327.87591913774895;1.8898351562361726;2.4125555185993695;140.51825105903524;1.6529170462707048;6.280079963034592;187.3576680787137;2.203889395027607;5.461856457119266;140.51825105903524;1.6529170462707048;2.00962558817107
32;310.33330011188355;1.7887217281603227;2.2834745465876454;132.9999857622358;1.5644796456212737;5.944071601904535;177.33331434964776;2.085972860828365;4.913490811755013;132.9999857622358;1.5644796456212737;3.233574951436067
33;301.72011683993276;1.739076433692694;3.7741658773756344;129.30862150282832;1.521058105270578;5.779096144645053;172.41149533710444;2.028077473694104;4.644250865507539;129.30862150282832;1.521058105270578;1.8493107662864172
34;343.24048525460563;1.978394563966729;2.5256100816596545;147.1030651091167;1.7303742541983056;1.9723110800132673;196.13742014548893;2.307165672264407;5.9421382327189765;147.1030651091167;1.7303742541983056;2.1037984853474843
35;309.68697038513903;1.7849963657020655;2.2787187647260407;132.72298730791672;1.5612213111096784;5.931691911510936;176.9639830772223;2.0816284148129047;4.89328715703266;132.72298730791672;1.5612213111096784;1.8981414116834998
36;338.4398202580938;1.9507241406322575;2.4902861369773497;145.04563725346875;1.7061727177541612;6.482419140403348;193.39418300462503;2.2748969570055486;5.792073994585076;145.04563725346875;1.7061727177541612;2.0743741249290717
37;295.6873000840362;1.7043040441057844;1.5054945243903628;126.72312860744408;1.4906449365356715;5.663544591700879;168.96417147659213;1.9875265820475623;4.455670731102646;126.72312860744408;1.4906449365356715;1.8123342693442817
38;303.51387019517904;1.7494154002178228;1.5630834896397738;130.077372940791;1.530100933135122;1.7440360180111576;173.43649725438803;2.0401345775134963;4.700321895427507;130.077372940791;1.530100933135122;1.8603050858785681
39;323.9410101973658;1.8671548408544265;2.3836019244950126;138.83186151315675;1.6330800357327344;1.8614134145889822;185.10914868420903;2.177440047643646;5.338854932810879;138.83186151315675;1.6330800357327344;1.9855076422282487
40;322.9079456759863;1.8612003881569013;2.3760004955194485;138.3891195754227;1.6278720596124505;1.855477271594739;184.51882610056362;2.170496079483267;5.306562314922187;138.3891195754227;1.6278720596124505;1.979175756367721
41;301.70400702099175;1.7389835787423356;1.5497662707348963;129.30171729471076;1.520976891028282;3.7841067288308587;172.402289726281;2.027969188037709;4.643747287834939;129.30171729471076;1.520976891028282;1.8492120255663005
