pipe,m_dot_vl_max,m_dot_vl_mean,m_dot_rl_max,m_dot_rl_mean,v_max,v_mean,v_below_pct,Q_loss_vl_MWh,Q_loss_rl_MWh,Q_loss_total_MWh,Q_consumer_MWh
E1_to_V1,0.486290794889482,0.41786810780394174,0.486290794889482,0.41786810780394174,0.000700729595172,0.0006021346755767202,100.0,7.868263188048482,2.7618684059757044,10.630131594024187,74.39999999999999
E1_to_V2,45.04479930823374,43.674949872011524,45.04479930823374,43.674949872011524,0.0649081255816006,0.06293421603821975,100.0,5.901197391036351,2.07140130448177,7.972598695518121,7782.099716294783
j1_to_V_2,43.8503415920369,42.421345548599696,43.8503415920369,42.421345548599696,0.0631869499378977,0.06112781201148944,100.0,5.409430941783319,1.8987845291082852,7.3082154708916045,7558.899716294783
j1_to_j5,26.730217548733147,24.775898639812524,26.730217548733147,24.775898639812524,0.0385173947741295,0.035701283278134224,100.0,6.884730289542417,2.4166348552287364,9.301365144771154,4416.598119172066
j1_to_j2,18.1689120133581,16.80971069317929,18.1689120133581,16.80971069317929,0.0261808253284532,0.024222259382201617,100.0,6.884730289542417,2.4166348552287364,9.301365144771154,2993.5015971227162
j1_to_V3,0.972581589778964,0.8357362156078835,0.972581589778964,0.8357362156078835,0.001401459190344,0.0012042693511534908,100.0,6.884730289542417,2.4166348552287364,9.301365144771154,148.79999999999998
j2_to_V4,2.43145397444741,2.0893405390197084,2.43145397444741,2.0893405390197084,0.00350364797586,0.0030106733778838034,100.0,1.967065797012093,0.6904671014938977,2.6575328985059907,372.0
j2_to_V5,3.404035564226374,2.925076754627592,3.404035564226374,2.925076754627592,0.004905107166204,0.004214942729037345,100.0,1.7703592173108815,0.6214203913445033,2.391779608655385,520.8000000000001
j2_to_V6,0.398098002625901,0.3775078919561515,0.398098002625901,0.3775078919561515,0.0005736465817376,0.0005439768860209799,100.0,2.163772376713306,0.7595138116432929,2.923286188356599,67.28769964033953
j2_to_V7,1.458872384668446,1.2536043234118253,1.458872384668446,1.2536043234118253,0.002102188785516,0.0018064040267302636,100.0,2.163772376713306,0.7595138116432929,2.923286188356599,223.19999999999996
j2_to_j3,10.60938561726522,10.164181184164011,10.60938561726522,10.164181184164011,0.015287787814901,0.014646262362529028,100.0,2.458832246265125,0.8630838768673821,3.3219161231325067,1810.213897482377
j3_to_V8,0.7961960052518021,0.755015783912303,0.7961960052518021,0.755015783912303,0.0011472931634752,0.0010879537720420065,100.0,2.360478956414519,0.8285605217926855,3.1890394782072047,134.57539928067908
j3_to_V9,2.43145397444741,2.0893405390197084,2.43145397444741,2.0893405390197084,0.00350364797586,0.0030106733778838034,100.0,1.8687125071614865,0.655943746419202,2.5246562535806882,372.0
j3_to_j4,7.647602697316511,7.319824861232,7.647602697316511,7.319824861232,0.0110199526670967,0.010547635212603117,100.0,1.967065797012093,0.6904671014938977,2.6575328985059907,1303.6384982016978
j4_to_V10,4.86290794889482,4.178681078039417,4.86290794889482,4.178681078039417,0.00700729595172,0.006021346755767658,100.0,2.262125666563912,0.7940371667179882,3.0561628332819,744.0
j4_to_V11,1.990490013129505,1.8875394597807575,1.990490013129505,1.8875394597807575,0.0028682329086882,0.0027198844301050953,100.0,1.7703592173108815,0.6214203913445033,2.391779608655385,336.4384982016977
j4_to_V12,0.486290794889482,0.41786810780394174,0.486290794889482,0.41786810780394174,0.000700729595172,0.0006021346755767202,100.0,2.5571855361157327,0.8976072319420787,3.4547927680578114,74.39999999999999
j4_to_V13,0.972581589778964,0.8357362156078835,0.972581589778964,0.8357362156078835,0.001401459190344,0.0012042693511534908,100.0,2.5571855361157327,0.8976072319420787,3.4547927680578114,148.79999999999998
V13_to_V14,0.486290794889482,0.41786810780394174,0.486290794889482,0.41786810780394174,0.000700729595172,0.0006021346755767202,100.0,1.4752993477590595,0.517850326120415,1.9931496738794745,74.39999999999999
j5_to_V15,0.486290794889482,0.41786810780394174,0.486290794889482,0.41786810780394174,0.000700729595172,0.0006021346755767202,100.0,1.3769460579084525,0.4833269710457193,1.8602730289541718,74.39999999999999
j5_to_V16,0.486290794889482,0.41786810780394174,0.486290794889482,0.41786810780394174,0.000700729595172,0.0006021346755767202,100.0,1.8687125071614865,0.655943746419202,2.5246562535806882,74.39999999999999
j5_to_V17,25.93391240460192,23.94016242420464,25.93391240460192,23.94016242420464,0.0373699443449942,0.03449701392698068,100.0,1.573652637609667,0.5523736811951122,2.126026318804779,4267.798119172066
V17_to_V18,25.5357598325363,23.522294316400696,25.5357598325363,23.522294316400696,0.0367962191304266,0.03389487925140391,100.0,1.967065797012093,0.6904671014938977,2.6575328985059907,4193.398119172066
V18_to_j6,25.137607260470684,23.10442620859676,25.137607260470684,23.10442620859676,0.036222493915859,0.033292744575827135,100.0,1.573652637609667,0.5523736811951122,2.126026318804779,4118.998119172066
j6_to_V19,0.486290794889482,0.41786810780394174,0.486290794889482,0.41786810780394174,0.000700729595172,0.0006021346755767202,100.0,1.7703592173108815,0.6214203913445033,2.391779608655385,74.39999999999999
j6_to_V20,0.486290794889482,0.41786810780394174,0.486290794889482,0.41786810780394174,0.000700729595172,0.0006021346755767202,100.0,1.2785927680578473,0.4488036159710205,1.7273963840288677,74.39999999999999
j6_to_V21,0.486290794889482,0.41786810780394174,0.486290794889482,0.41786810780394174,0.000700729595172,0.0006021346755767202,100.0,1.3769460579084525,0.4833269710457193,1.8602730289541718,74.39999999999999
j6_to_j7,23.94314954427384,21.85082188518493,23.94314954427384,21.85082188518493,0.0345013182721561,0.031486340549096825,100.0,1.967065797012093,0.6904671014938977,2.6575328985059907,3895.7981191720664
j7_to_V22,0.486290794889482,0.41786810780394174,0.486290794889482,0.41786810780394174,0.000700729595172,0.0006021346755767202,100.0,1.426122702833757,0.5005886485830648,1.926711351416822,74.39999999999999
j7_to_V23,2.43145397444741,2.0893405390197084,2.43145397444741,2.0893405390197084,0.00350364797586,0.0030106733778838034,100.0,1.6720059274602739,0.5868970362698072,2.258902963730081,372.0
j7_to_V24,12.397980051484424,10.660931723369798,12.397980051484424,10.660931723369798,0.0178650956047845,0.015362064117152525,100.0,1.4752993477590595,0.517850326120415,1.9931496738794745,1901.7810274442566
j7_to_V25,7.96196005251802,7.55015783912303,7.96196005251802,7.55015783912303,0.0114729316347528,0.010879537720420532,100.0,1.8687125071614865,0.655943746419202,2.5246562535806882,1345.753992806791
V25_to_V26,3.98098002625901,3.775078919561515,3.98098002625901,3.775078919561515,0.0057364658173764,0.005439768860210242,100.0,1.3769460579084525,0.4833269710457193,1.8602730289541718,672.8769964033955
