comparison,config,gap_cost_pct,gap_cost_eur,gap_cost_eur_per_mwh,gap_co2_t
L1cp->L1,synth_n15_L1p0km_hi0p8_s2h,-0.3925,-731.04,-0.1548,-1.32
L1cp->L1,synth_n15_L1p0km_hi0p8_s6h,-0.2317,-281.91,-0.0289,-0.87
L1cp->L1,synth_n15_L5p0km_hi0p1_s12h,-0.0421,-37.72,-0.0039,0.16
L1cp->L1,synth_n15_L5p0km_hi0p1_s6h,-0.3003,-365.13,-0.0374,-1.13
L1cp->L1,synth_n15_L5p0km_hi0p4_s2h,-0.3754,-699.35,-0.0716,-0.78
L1cp->L1,synth_n15_L5p0km_hi0p8_s2h,-0.3755,-699.37,-0.0716,-0.78
L1cp->L1,synth_n30_L15p0km_hi0p1_s12h,-0.0793,-71.01,-0.0073,-0.14
L1cp->L1,synth_n30_L15p0km_hi0p1_s2h,-0.3621,-674.54,-0.0694,-0.75
L1cp->L1,synth_n30_L15p0km_hi0p1_s6h,-0.2728,-331.75,-0.034,-1.12
L1cp->L1,synth_n30_L15p0km_hi0p4_s12h,0.0061,5.45,0.0006,0.03
L1cp->L1,synth_n30_L15p0km_hi0p4_s2h,-0.3733,-695.32,-0.0712,-1.53
L1cp->L1,synth_n30_L15p0km_hi0p8_s6h,-0.3132,-380.68,-0.039,-1.1
L1cp->L1,synth_n30_L5p0km_hi0p1_s2h,-0.4076,-759.04,-0.0777,-1.78
L1cp->L1,synth_n30_L5p0km_hi0p1_s6h,-0.3003,-365.13,-0.0374,-1.13
L1cp->L1,synth_n30_L5p0km_hi0p4_s2h,-0.4016,-747.9,-0.0766,-1.6
L1cp->L1,synth_n30_L5p0km_hi0p8_s2h,-0.4266,-794.3,-0.0813,-1.57
L1cp->L1,synth_n30_L5p0km_hi0p8_s6h,-0.2497,-303.73,-0.0311,-1.5
L1->L2,synth_n05_L15p0km_hi0p1_s12h,44.5903,72176.52,7.3891,228.15
L1->L2,synth_n05_L15p0km_hi0p1_s6h,39.0351,77877.55,7.9719,249.91
L1->L2,synth_n05_L15p0km_hi0p4_s12h,44.6048,72186.4,7.3908,227.96
L1->L2,synth_n05_L15p0km_hi0p4_s6h,39.035,77877.13,7.9719,249.9
L1->L2,synth_n05_L15p0km_hi0p8_s2h,35.2774,101548.66,10.395,298.93
L1->L2,synth_n05_L15p0km_hi0p8_s6h,39.0238,77833.37,7.9682,249.38
L1->L2,synth_n05_L1p0km_hi0p4_s12h,4.4617,4183.96,0.4283,14.42
L1->L2,synth_n05_L1p0km_hi0p4_s2h,3.221,6199.51,0.6347,19.49
L1->L2,synth_n05_L1p0km_hi0p4_s6h,3.6608,4620.09,0.473,16.93
L1->L2,synth_n05_L5p0km_hi0p1_s12h,20.1163,22585.53,2.3122,74.92
L1->L2,synth_n05_L5p0km_hi0p1_s2h,15.3037,33641.63,3.4441,99.85
L1->L2,synth_n05_L5p0km_hi0p1_s6h,16.4739,23988.94,2.4556,82.7
L1->L2,synth_n05_L5p0km_hi0p4_s12h,20.1172,22575.15,2.3111,74.47
L1->L2,synth_n05_L5p0km_hi0p8_s2h,15.1153,33143.88,3.3928,101.47
L1->L2,synth_n15_L15p0km_hi0p1_s2h,34.8608,99701.67,10.2059,293.01
L1->L2,synth_n15_L15p0km_hi0p1_s6h,38.5956,76449.49,7.8257,245.29
L1->L2,synth_n15_L15p0km_hi0p4_s2h,34.9073,99901.15,10.2264,293.78
L1->L2,synth_n15_L15p0km_hi0p8_s12h,44.1965,70965.29,7.2651,223.88
L1->L2,synth_n15_L1p0km_hi0p1_s6h,3.5489,4474.37,2.6532,16.95
L1->L2,synth_n15_L1p0km_hi0p8_s2h,3.4056,6566.25,0.6722,20.78
L1->L2,synth_n15_L1p0km_hi0p8_s6h,3.4249,4314.32,0.4417,16.27
L1->L2,synth_n15_L5p0km_hi0p1_s12h,19.9054,22269.54,2.2796,73.03
L1->L2,synth_n15_L5p0km_hi0p1_s6h,16.218,23533.06,2.4094,80.85
L1->L2,synth_n15_L5p0km_hi0p4_s2h,14.724,32162.41,3.2926,97.39
L1->L2,synth_n15_L5p0km_hi0p8_s2h,14.5006,31591.54,3.2342,95.72
L1->L2,synth_n30_L15p0km_hi0p1_s12h,44.1733,70876.15,7.2574,223.85
L1->L2,synth_n30_L15p0km_hi0p1_s2h,34.9117,99925.12,10.2288,293.87
L1->L2,synth_n30_L15p0km_hi0p1_s6h,38.5954,76433.73,7.8249,245.31
L1->L2,synth_n30_L15p0km_hi0p4_s12h,44.1535,70879.84,7.2556,223.76
L1->L2,synth_n30_L15p0km_hi0p4_s2h,35.0064,100330.95,10.2714,295.86
L1->L2,synth_n30_L15p0km_hi0p8_s6h,38.3886,75738.62,7.7522,243.03
L1->L2,synth_n30_L5p0km_hi0p1_s2h,14.8292,32421.78,3.3195,99.65
