;j_1_T_supply;j_1_T_return;V_1_T_supply;V_1_T_return;V_1_Q_demand;j_2_T_supply;j_2_T_return;j_2_Q_demand;j_3_T_supply;j_3_T_return;j_3_Q_demand;j_4_T_supply;j_4_T_return;j_4_Q_demand;j_5_T_supply;j_5_T_return;j_5_Q_demand;j_6_T_supply;j_6_T_return;j_6_Q_demand;j_7_T_supply;j_7_T_return;j_7_Q_demand;j_8_T_supply;j_8_T_return;j_8_Q_demand;j_9_T_supply;j_9_T_return;j_9_Q_demand;j_10_T_supply;j_10_T_return;j_10_Q_demand;j_11_T_supply;j_12_T_supply;j_13_T_supply;j_14_T_supply;j_14_T_return;j_14_Q_demand;j_15_T_supply;j_15_T_return;j_15_Q_demand;V_18_T_supply;V_18_T_return;V_18_Q_demand;V_19_T_supply;V_19_T_return;V_19_Q_demand;V_20_T_supply;V_20_T_return;V_20_Q_demand;V_21_T_supply;V_21_T_return;V_21_Q_demand;V_22_T_supply;V_22_T_return;V_22_Q_demand;V_23_T_supply;V_23_T_return;V_23_Q_demand;V_24_T_supply;V_24_T_return;V_24_Q_demand
11;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5783773523485192;100.0;40.0;0.6567547046970386;100.0;40.0;1.4918867617425964;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.5675470469703852;100.0;40.0;0.23513205704555776;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;1.9935119753464972
12;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5804120190432098;100.0;40.0;0.6608240380864198;100.0;40.0;1.5020600952160494;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.6082403808641974;100.0;40.0;0.2412360571296296;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;2.0763260036356606
13;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5994106493421434;100.0;40.0;0.698821298684287;100.0;40.0;1.5970532467107175;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.9882129868428702;100.0;40.0;0.2982319480264305;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;3.0748055849193725
14;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5774773802986346;100.0;40.0;0.6549547605972694;100.0;40.0;1.4873869014931735;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.549547605972694;100.0;40.0;0.23243214089590408;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;1.957947754313698
15;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5831362532480295;100.0;40.0;0.6662725064960592;100.0;40.0;1.5156812662401478;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.6627250649605914;100.0;40.0;0.2494087597440887;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;2.192857905890921
16;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.59982991203337;100.0;40.0;0.6996598240667404;100.0;40.0;1.599149560166851;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.9965982406674043;100.0;40.0;0.29948973610011065;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;3.1031934337753078
17;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5770820130305294;100.0;40.0;0.6541640260610588;100.0;40.0;1.4854100651526472;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.5416402606105886;100.0;40.0;0.23124603909158828;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;1.9425217161542738
18;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5850606679360641;100.0;40.0;0.6701213358721283;100.0;40.0;1.5253033396803206;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.7012133587212828;100.0;40.0;0.2551820038081924;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;2.279452982503115
19;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.59998471805507;100.0;40.0;0.6999694361101398;100.0;40.0;1.5999235902753497;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.9996943611013986;100.0;40.0;0.29995415416520976;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;3.1137687266244165
20;60.0;30.0;100.0;40.0;0.1;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.57695643124701;100.0;40.0;0.6539128624940198;100.0;40.0;1.4847821562350494;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;100.0;100.0;100.0;40.0;1.5391286249401979;100.0;40.0;0.23086929374102966;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.5;100.0;40.0;1.9376466785162685
