timestamp,P_buy_MW,P_sell_MW,Q_dump_MWth,HP1_Q_th_MW,HP1_Pel_MW,HP1_on,HP1_Q_wrg_MW,HP1_Q_def_MW,HP1_COP,HP2_Q_th_MW,HP2_Pel_MW,HP2_on,HP2_Q_wrg_MW,HP2_Q_def_MW,HP2_COP,HP3_Q_th_MW,HP3_Pel_MW,HP3_on,HP3_Q_wrg_MW,HP3_Q_def_MW,HP3_COP,HP4_Q_th_MW,HP4_Pel_MW,HP4_on,HP4_Q_wrg_MW,HP4_Q_def_MW,HP4_COP,TES_SOC_MWh,TES_charge_MW,TES_discharge_MW,HKW_Q_th_MW,HKW_fuel_MW,HKW_Pel_MW,GTOST_Q_th_MW,GTOST_fuel_MW,GTOST_Pel_MW,BMHKW_Q_th_MW,BMHKW_fuel_MW,BMHKW_Pel_MW,HWS_Q_th_MW,HWS_fuel_MW,HWW_Q_th_MW,HWW_fuel_MW,AVA_Q_th_MW,AVA_fuel_MW,P2H_Q_th_MW,P2H_Pel_MW
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,42.3,0.0,0.0
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,42.3,0.0,0.0,,,,,,,,,,,,
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.997150000000005,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,44.6,0.0,0.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.997150000000005,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,44.6,0.0,0.0,,,,,,,,,,,,
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5208759842519688,0.5069586614173229,1.0,0.0,1.5208759842519688,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.265134495526322,0.0,27.290000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.3891240157480318,2.8641732283464574,0.5069586614173229,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.49145028500001,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14691849809914936,0.3029247383487616,0.0536176786877308,0.0,0.0,0.0,0.0,45.0,45.0,0.053081501900853485,0.0536176786877308,,,,,,,,,,,,
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.76230798207677,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1753479847931745,2.42339790679005,0.4289414295018388,0.0,0.0,0.0,0.0,45.0,45.0,0.4246520152068206,0.428941429501839
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.90395377155046,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1753479847931738,2.4233979067900493,0.4289414295018387,0.0,0.0,0.0,0.0,45.0,45.0,0.42465201520682033,0.4289414295018387,,,,,,,,,,,,
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23336614173228,1.4111220472440933,1.0,0.0,4.23336614173228,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.17768438285751,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.866633858267714,7.9724409448818845,1.4111220472440935,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0
2023-01-01 04:00:00,0.0,0.0,0.0,4.23336614173228,1.4111220472440933,1.0,0.0,4.23336614173228,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,82.39856337617331,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.866633858267713,7.972440944881884,1.4111220472440933,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,,,,,,,,,,,,
