Scenario,Network,HP site,TES site,TAC [M€/a],LCOH [€/MWh],Δcost [%],CO₂ [t/a],Q_WP [MW],E_TES [MWh],COP,Status,MIP gap [%]
SB-S6-HK0,Stadtbach,j_man,j_man,4.491,7.02,59.3,6000.1,3.73,845.0,3.24,maxTimeLimit,1.18
SB-S6-HK1,Stadtbach,j_man,j_man,4.480,7.00,59.4,6055.8,3.82,845.0,3.44,maxTimeLimit,1.52
SB-S6-HK2,Stadtbach,j_man,j_man,4.437,6.93,59.8,5937.0,3.83,845.0,3.67,maxTimeLimit,1.37
MM-S4-HK0,Memmingen,j_3,j_1,0.331,33.92,34.6,478.9,0.83,5.6,3.02,maxTimeLimit,1.64
MM-S4-HK1,Memmingen,j_3,j_1,0.321,32.88,36.6,468.8,0.82,5.6,3.09,maxTimeLimit,1.67
MM-S4-HK2,Memmingen,j_3,j_1,0.312,31.97,38.4,452.5,0.81,5.6,3.20,maxTimeLimit,1.73
